index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_name,cluster
490,0.95,0.574,11,-7.969,0,0.251,0.0973,0.000274,0.0801,0.656,106.042,audio_features,3wTlriqyGE7UX1bebRBtR8,spotify:track:3wTlriqyGE7UX1bebRBtR8,https://api.spotify.com/v1/tracks/3wTlriqyGE7UX1bebRBtR8,https://api.spotify.com/v1/audio-analysis/3wTlriqyGE7UX1bebRBtR8,141509,4,bbno$ & lentra,bad to the bone,3
491,0.844,0.72,1,-7.418,0,0.3,0.169,0.0,0.0797,0.631,99.917,audio_features,3PXi72ZtSqx1PZc40KS0Qj,spotify:track:3PXi72ZtSqx1PZc40KS0Qj,https://api.spotify.com/v1/tracks/3PXi72ZtSqx1PZc40KS0Qj,https://api.spotify.com/v1/audio-analysis/3PXi72ZtSqx1PZc40KS0Qj,125853,4,$NOT & Flo Milli,Mean,3
492,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,audio_features,4VXIryQMWpIdGgYR4TrjT1,spotify:track:4VXIryQMWpIdGgYR4TrjT1,https://api.spotify.com/v1/tracks/4VXIryQMWpIdGgYR4TrjT1,https://api.spotify.com/v1/audio-analysis/4VXIryQMWpIdGgYR4TrjT1,165820,4,Juice WRLD,All Girls Are The Same,3
493,0.813,0.608,7,-9.918,1,0.169,0.355,8.56e-06,0.0963,0.0512,149.251,audio_features,7KhJdiu4zbPlhlImRLIyDl,spotify:track:7KhJdiu4zbPlhlImRLIyDl,https://api.spotify.com/v1/tracks/7KhJdiu4zbPlhlImRLIyDl,https://api.spotify.com/v1/audio-analysis/7KhJdiu4zbPlhlImRLIyDl,145899,4,Riovaz,Prom Night,3
494,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,audio_features,1D3z6HTiQsNmZxjl7F7eoG,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,https://api.spotify.com/v1/tracks/1D3z6HTiQsNmZxjl7F7eoG,https://api.spotify.com/v1/audio-analysis/1D3z6HTiQsNmZxjl7F7eoG,218802,4,J. Cole & 21 Savage & Morray,m y . l i f e (with 21 Savage & Morray),6
495,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4,Travis Scott,SICKO MODE,3
496,0.77,0.58,4,-6.371,1,0.0461,0.0136,0.0,0.111,0.202,115.98,audio_features,5p29DSBwxS4hStGKr7NCCO,spotify:track:5p29DSBwxS4hStGKr7NCCO,https://api.spotify.com/v1/tracks/5p29DSBwxS4hStGKr7NCCO,https://api.spotify.com/v1/audio-analysis/5p29DSBwxS4hStGKr7NCCO,249475,4,Dro Kenji & $NOT,KILL CUPID,6
497,0.581,0.585,1,-1.87,1,0.369,0.27,6.48e-05,0.179,0.63,67.443,audio_features,18A7ha5BitZjmdHTCwXFbU,spotify:track:18A7ha5BitZjmdHTCwXFbU,https://api.spotify.com/v1/tracks/18A7ha5BitZjmdHTCwXFbU,https://api.spotify.com/v1/audio-analysis/18A7ha5BitZjmdHTCwXFbU,209829,3,Sub Urban,Cradles,3
498,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4,Juice WRLD,Lucid Dreams,3
500,0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,audio_features,6rTInqW3YECMkQsBEHw4sd,spotify:track:6rTInqW3YECMkQsBEHw4sd,https://api.spotify.com/v1/tracks/6rTInqW3YECMkQsBEHw4sd,https://api.spotify.com/v1/audio-analysis/6rTInqW3YECMkQsBEHw4sd,215693,4,Young Stoner Life & Young Thug & Gunna & Drake,Solid (feat. Drake),3
501,0.453,0.736,11,-6.269,0,0.229,0.204,4.18e-06,0.105,0.288,160.018,audio_features,6hJrZxgi6Cld2vIs3zgqRr,spotify:track:6hJrZxgi6Cld2vIs3zgqRr,https://api.spotify.com/v1/tracks/6hJrZxgi6Cld2vIs3zgqRr,https://api.spotify.com/v1/audio-analysis/6hJrZxgi6Cld2vIs3zgqRr,270000,4,Boombox Cartel & Reese LAFLARE,Fatal Attraction (feat. Reese LAFLARE),3
502,0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,audio_features,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4,Offset & Metro Boomin,Ric Flair Drip (& Metro Boomin),3
503,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,audio_features,3EWaR09H3TkRgaLTIheYFr,spotify:track:3EWaR09H3TkRgaLTIheYFr,https://api.spotify.com/v1/tracks/3EWaR09H3TkRgaLTIheYFr,https://api.spotify.com/v1/audio-analysis/3EWaR09H3TkRgaLTIheYFr,182707,4,Lil Uzi Vert,XO Tour Llif3,3
504,0.62,0.864,5,-4.334,0,0.114,0.0323,0.0,0.117,0.395,98.059,audio_features,3UEnF6y5tyHVtMzldS3svp,spotify:track:3UEnF6y5tyHVtMzldS3svp,https://api.spotify.com/v1/tracks/3UEnF6y5tyHVtMzldS3svp,https://api.spotify.com/v1/audio-analysis/3UEnF6y5tyHVtMzldS3svp,228980,4,Unlike Pluto & Mike Taylor,Everything Black,6
505,0.664,0.655,10,-7.327,0,0.0461,0.059,2.4e-05,0.17,0.13,129.987,audio_features,6LcX2hBbXaJcK4AuefE936,spotify:track:6LcX2hBbXaJcK4AuefE936,https://api.spotify.com/v1/tracks/6LcX2hBbXaJcK4AuefE936,https://api.spotify.com/v1/audio-analysis/6LcX2hBbXaJcK4AuefE936,217609,4,Don Toliver,What You Need,2
