,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
73,Soporific Tune,A View of Dreams,Twilight Time,2021-01-16,158023,44,0.232,0.99,0.232,0.00221,0.926,0.106,-34.357,0.0428,71.274,4
74,Mind Dive,Waves,Lux Tigon,2020-12-05,161750,44,0.52,0.994,0.52,0.00242,0.937,0.121,-38.115,0.0532,62.22,4
75,Ethereal,Ethereal,Threedust,2020-08-27,152236,60,0.144,0.947,0.144,0.0446,0.723,0.123,-31.839,0.0376,139.469,5
76,Liam's Bedtime,Liam's Bedtime,Sarah Barber,2020-11-30,174146,44,0.166,0.985,0.166,0.00833,0.888,0.0976,-37.937,0.0402,67.358,5
77,Do We Really Know,Do We Really Know,Auxelia,2021-02-19,175331,46,0.195,0.988,0.195,0.00735,0.881,0.123,-34.447,0.04,71.143,3
78,Long Awaited Dream,The Floating Sessions,Alex Couture,2019-05-20,254016,49,0.208,0.917,0.208,0.0538,0.825,0.194,-25.273,0.0386,102.705,1
79,Easy Mind,Easy Mind,Alma Meris,2020-11-11,160000,57,0.108,0.84,0.108,0.0542,0.865,0.11,-27.823,0.0397,78.69,3
80,embrace,embrace,Kamryn Freeman,2020-11-06,202625,64,0.134,0.985,0.134,0.00134,0.841,0.107,-46.847,0.0409,66.84,4
81,Acércate,Acércate,Pearl Melendez,2020-11-06,193500,64,0.148,0.983,0.148,0.00571,0.821,0.104,-35.191,0.04,138.736,4
82,Suivez-moi,Suivez-moi,Charmaine D'Avis,2021-02-19,200500,64,0.0874,0.992,0.0874,0.00818,0.905,0.0875,-35.716,0.0367,69.2,3
83,Slow Down,Slow Down,Leah Maur,2021-02-12,196291,49,0.19,0.935,0.19,0.021,0.807,0.102,-31.324,0.0436,69.255,4
84,Where Dreams Begin,Where Dreams Begin,Acirassi,2021-02-11,163709,52,0.342,0.993,0.342,0.00121,0.953,0.109,-31.922,0.0438,67.791,3
85,Evening Song,Evening Song,Alexander Sterling,2021-04-01,198221,64,0.0657,0.979,0.0657,0.00229,0.948,0.114,-32.86,0.0474,67.585,3
86,Aurora,Aurora,Chandeller,2020-11-03,185770,65,0.0752,0.935,0.0752,0.0139,0.872,0.128,-32.816,0.0366,78.757,3
87,Surrounded By Olive,Surrounded By Olive,Joseph Martins,2021-06-18,186000,54,0.152,0.969,0.152,0.0162,0.811,0.106,-34.644,0.0374,73.035,5
88,Traumlandschaft,Traumlandschaft,Kaiser Hulenstadt,2021-06-14,199318,68,0.0786,0.978,0.0786,0.0152,0.865,0.07,-30.165,0.0397,177.472,5
89,Chilling Silence,Chilling Silence (Ambient version),Osteriana,2021-03-31,151836,43,0.208,0.994,0.208,0.00823,0.941,0.171,-28.201,0.0343,74.274,4
90,Rejmee,Rejmee,Paradise Sunset,2021-04-15,221052,43,0.111,0.922,0.111,0.0568,0.898,0.109,-28.387,0.0315,77.873,3
91,Aestate Nocte,Aestate Nocte,Ferdinando Zetticci,2021-06-18,204500,65,0.0642,0.989,0.0642,0.0108,0.939,0.0911,-32.255,0.0411,53.548,3
92,Letting Go,Inner Spirit,Milo Graves,2019-10-18,155172,51,0.183,0.9,0.183,0.0225,0.939,0.114,-27.648,0.0387,70.547,4
93,Heinamaa,Heinamaa,Eyla Calmes,2020-08-07,152200,58,0.135,0.979,0.135,0.00213,0.779,0.0969,-37.865,0.0411,70.423,5
94,Miho no Matsubara,Miho no Matsubara,Miu Hayashi,2021-03-12,173750,56,0.174,0.957,0.174,0.0134,0.686,0.0868,-32.131,0.0404,71.8,4
95,You've Sent Me Peace,In a Charming Dream,Sergei Andreyev,2020-08-07,194655,50,0.224,0.95,0.224,0.00771,0.772,0.0976,-31.82,0.0427,68.808,3
96,Orison,Orison,Szigeti Aliz,2020-08-07,182250,53,0.169,0.993,0.169,0.0108,0.966,0.103,-33.159,0.0431,127.361,3
97,Remembering,Remembering,Koby Laver,2020-08-07,183750,59,0.162,0.985,0.162,0.00719,0.88,0.108,-32.384,0.0392,77.407,4
98,Phaedra,Phaedra,Arlette Leduc,2020-09-25,196000,60,0.0843,0.972,0.0843,0.00408,0.854,0.109,-31.801,0.042,76.94,5
99,Eyes of Redemption,Eyes of Redemption,Dolores Fernel,2020-09-23,183353,58,0.126,0.993,0.126,0.00567,0.82,0.104,-36.018,0.0435,67.178,3
