,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
78,We Go Together,The Secret Life of Pets (Original Motion Picture Soundtrack),Alexandre Desplat,2016-07-01,84080,0,0.648,0.00634,0.648,0.787,3.29e-06,0.443,-6.784,0.048,110.989,4
79,Break My Heart,Break My Heart,Mini Pop Kids,2020-08-04,223273,32,0.733,0.413,0.733,0.671,0.0,0.133,-6.201,0.0661,113.044,4
80,Aaron's Party (Come Get It),Most Requested Hits,Aaron Carter,2003-10-21,205826,27,0.926,0.04,0.926,0.904,0.0,0.0405,-3.095,0.139,117.014,4
81,"Hey Look Ma, I Made It",If I Can’t Have You,Kidz Bop Kids,2019-08-09,161666,38,0.648,0.0111,0.648,0.855,0.0,0.0904,-5.64,0.0414,107.972,4
82,Cheerleader,KIDZ BOP 30,Kidz Bop Kids,2015-11-06,157306,0,0.71,0.157,0.71,0.646,0.0,0.33,-6.386,0.0359,118.048,4
83,Happier,Mini Pop Kids 16,Mini Pop Kids,2018-11-16,215586,28,0.718,0.525,0.718,0.714,0.0,0.0575,-5.483,0.036,100.049,4
84,Bop!,Bop!,JoJo Siwa,2019-02-22,156581,50,0.786,0.0326,0.786,0.952,0.0,0.329,-4.349,0.163,160.007,4
85,Wonderful Life (Mi Oh My) - From the Angry Birds Movie Original Motion Picture Soundtrack,The Angry Birds Movie (Original Motion Picture Soundtrack),Various Artists,2016-05-06,210920,41,0.871,0.216,0.871,0.754,1.11e-05,0.122,-5.771,0.034,110.969,4
86,I See Love - From Hotel Transylvania 3,I See Love (From Hotel Transylvania 3),Jonas Blue,2018-06-29,173220,52,0.736,0.0133,0.736,0.706,0.0,0.324,-3.899,0.0438,123.047,4
87,You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2016-11-18,163893,71,0.788,0.29,0.788,0.745,0.0,0.0373,-7.072,0.258,135.278,4
88,Hair In The Air (Trolls: The Beat Goes On Theme),DreamWorks Trolls - The Beat Goes On! (Music From Season 1),Various Artists,2018-01-19,134500,0,0.592,0.0317,0.592,0.876,0.000659,0.204,-5.515,0.0855,120.0,4
89,FRIENDS,KIDZ BOP World Tour,Kidz Bop Kids,2019-05-24,175000,39,0.702,0.222,0.702,0.706,0.0,0.198,-4.434,0.0342,95.0,4
90,Sunflower,Sunflower,Kidz Bop Kids,2019-04-26,162946,40,0.779,0.206,0.779,0.604,6.02e-06,0.0734,-5.671,0.0519,90.019,4
91,How Far I'll Go - Alessia Cara Version,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2016-11-18,175506,65,0.31,0.163,0.31,0.54,0.000129,0.0713,-9.629,0.346,180.994,4
92,Cheap Thrills,KIDZ BOP 33,Kidz Bop Kids,2016-10-14,187626,17,0.499,0.0269,0.499,0.742,0.0,0.269,-3.408,0.0875,179.759,4
93,Sorry,Kidz Bop 31,Kidz Bop Kids,2016-02-05,182426,0,0.604,0.0313,0.604,0.628,0.0,0.252,-5.725,0.0617,99.859,4
94,It’s Gonna Be A Lovely Day (The Secret Life of Pets 2),The Secret Life of Pets 2 (Original Motion Picture Soundtrack),Various Artists,2019-05-31,231733,0,0.733,0.168,0.733,0.886,0.0,0.0742,-4.295,0.135,100.033,4
95,Here With Me,I Don't Care,Kidz Bop Kids,2019-06-28,157453,32,0.711,0.0237,0.711,0.555,0.0,0.195,-6.58,0.0318,99.913,4
96,Broken & Beautiful,Broken & Beautiful,Kelly Clarkson,2019-03-27,218948,66,0.73,0.0823,0.73,0.732,0.0,0.0757,-2.556,0.0366,112.058,4
97,I'm a Lady - from SMURFS: THE LOST VILLAGE,I'm a Lady (from SMURFS: THE LOST VILLAGE),Meghan Trainor,2017-02-24,164586,56,0.612,0.0432,0.612,0.691,0.0,0.19,-4.932,0.12,175.003,4
98,This Is What You Came For,KIDZ BOP 33,Kidz Bop Kids,2016-10-14,159840,14,0.638,0.147,0.638,0.893,1.29e-06,0.154,-3.638,0.0342,123.974,4
99,Friend Like Me (End Title),Aladdin (Original Motion Picture Soundtrack),Various Artists,2019-05-22,159359,50,0.738,0.278,0.738,0.831,0.0,0.452,-6.213,0.221,97.908,4
