,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
51,Boy From Anderson County,Boy From Anderson County,Kolby Cooper,2021-07-16,244290,54,0.515,0.0598,0.515,0.69,0.0,0.193,-5.631,0.0274,145.087,4
52,Larabar,Larabar,Wet,2021-08-04,175122,58,0.491,0.894,0.491,0.318,4.96e-05,0.14,-10.057,0.0978,73.354,4
53,Steal My Love,Good Things,Dan + Shay,2021-08-13,162120,72,0.59,0.619,0.59,0.633,0.0,0.157,-5.452,0.0328,179.856,4
54,Now What,Now What,Lebra Jolie,2021-06-26,154748,54,0.905,0.0757,0.905,0.593,0.0,0.875,-6.571,0.177,129.884,4
55,That Life,That Life,Unknown Mortal Orchestra,2021-08-04,217373,62,0.875,0.0502,0.875,0.708,2.49e-05,0.0458,-4.419,0.075,123.287,4
56,In Love,In Love,EKKSTACY,2021-08-27,152933,58,0.323,0.925,0.323,0.162,0.000963,0.104,-12.661,0.0348,67.408,3
57,Too Late to Write a Love Song,Too Late to Write a Love Song,Riddy Arman,2021-07-30,194306,39,0.62,0.145,0.62,0.692,0.0,0.0608,-5.33,0.0242,112.188,4
58,Rotation,Good Dick & Weed,Ebhoni,2021-07-23,160639,28,0.888,0.00236,0.888,0.454,0.0112,0.0867,-9.254,0.36,158.106,4
59,Never Seen,Never Seen,Angel Haze,2021-08-27,109693,46,0.703,0.193,0.703,0.716,0.0,0.214,-2.842,0.347,75.179,4
60,P's & Q's,P's & Q's,Mike Shabb,2021-08-19,153600,37,0.379,0.347,0.379,0.824,0.0,0.328,-6.334,0.317,73.045,4
61,Mama Say,Mama Say,MAVI,2021-08-13,137994,44,0.429,0.602,0.429,0.428,0.00445,0.138,-10.458,0.0499,130.187,3
62,I Dunno Her,I Dunno Her,jamesjamesjames,2021-08-27,288034,45,0.716,0.354,0.716,0.691,0.725,0.0656,-9.877,0.0505,127.026,4
63,Take My Life,Take My Life,Jay Wheeler,2021-08-13,184193,62,0.706,0.279,0.706,0.778,0.0,0.112,-4.703,0.127,156.084,4
64,i hope ur miserable until ur dead,i hope ur miserable until ur dead,Nessa Barrett,2021-08-06,177582,79,0.706,0.0273,0.706,0.544,0.0,0.087,-7.275,0.0306,115.935,4
65,Right Now (feat. Travis Barker),Right Now (feat. Travis Barker),Jasiah,2021-08-27,153794,59,0.5,0.0127,0.5,0.754,0.0,0.112,-4.853,0.0507,170.103,4
66,Batman n Robin,Batman n Robin,Showjoe,2021-04-29,163137,43,0.684,0.0765,0.684,0.441,0.0,0.193,-13.054,0.24,152.93,4
67,Ready ft. Abby Huston,Game Over!,Benét,2021-08-06,169446,32,0.838,0.0478,0.838,0.505,0.0041,0.102,-7.646,0.0548,115.0,4
68,soft spot,soft spot,piri,2021-06-04,219529,64,0.647,0.0228,0.647,0.656,0.0212,0.148,-7.828,0.0536,169.967,4
69,LIFE IS GOOD,LIFE IS GOOD,Courtnie Ramirez,2021-08-13,187871,40,0.712,0.00617,0.712,0.666,0.0,0.197,-6.341,0.0338,134.908,4
70,Wishful Drinking (with Sam Hunt),Wishful Drinking (with Sam Hunt),Ingrid Andress,2021-08-02,194544,75,0.678,0.289,0.678,0.528,0.0,0.0734,-7.317,0.0551,79.018,4
